gene_id,gene_name,entrez_id,gene_type,logFC,logCPM,F,PValue,FDR
ENSG00000240003,RPL7P24,100127893,processed_pseudogene,0.148531631,-1.327549284,0.390615914,0.53353812,0.591628634
ENSG00000166199,ALKBH3,221120,protein_coding,-0.041089875,3.063889518,0.390093111,0.533783637,0.591868021
ENSG00000122861,PLAU,5328,protein_coding,-0.139813127,-0.231700624,0.389643949,0.534029339,0.592107587
ENSG00000173065,FAM222B,55731,protein_coding,-0.045558785,3.781128048,0.38952014,0.534083536,0.592134806
ENSG00000146066,HIGD2A,192286,protein_coding,-0.054076056,4.778028066,0.389073991,0.534317282,0.592361075
ENSG00000262413,ENSG00000262413,NA,lncRNA,-0.098942945,0.023058703,0.388837813,0.534445959,0.592470842
ENSG00000277224,H2BC7,8343,protein_coding,-0.050388923,4.145641098,0.38866458,0.534531996,0.592532602
ENSG00000289094,ENSG00000289094,NA,lncRNA,-0.132330975,-1.273441639,0.388587665,0.534561006,0.592532602
ENSG00000257315,ZBED6,100381270,protein_coding,0.049014481,3.270473825,0.3882949,0.534726056,0.592682656
ENSG00000241395,RN7SL344P,106480503,misc_RNA,-0.137932686,-0.955775364,0.38756007,0.535133025,0.593095982
ENSG00000253200,ENSG00000253200,NA,lncRNA,0.045473056,3.088699257,0.387472011,0.535158356,0.593095982
ENSG00000152953,STK32B,55351,protein_coding,0.114285503,-0.319127834,0.387284065,0.535265862,0.593174417
ENSG00000227407,ENSG00000227407,NA,lncRNA,-0.118856414,-0.261376645,0.387237729,0.53528853,0.593174417
ENSG00000265623,MIR3139,100423017,miRNA,0.111041771,-0.157314518,0.386067881,0.535904161,0.593823674
ENSG00000181392,SYNE4,163183,protein_coding,-0.115668474,-0.220899238,0.385905391,0.535989923,0.593885756
ENSG00000207208,RNU6-790P,106481430,snRNA,0.133869982,-1.05106155,0.385873562,0.536027467,0.593894406
ENSG00000175470,PPP2R2D,55844,protein_coding,-0.026144901,5.50939379,0.385241015,0.536333481,0.594200493
ENSG00000114378,HYAL1,3373,protein_coding,0.146928263,-1.075219567,0.383846955,0.53709767,0.595014126
ENSG00000273179,ENSG00000273179,NA,lncRNA,-0.116073764,-0.857411777,0.38375875,0.537137803,0.595025581
ENSG00000256229,ZNF486,90649,protein_coding,-0.042434774,3.51601037,0.383489903,0.537259297,0.595127159
ENSG00000167641,PPP1R14A,94274,protein_coding,-0.068972681,1.443377186,0.382811604,0.537619315,0.595492927
ENSG00000139636,LMBR1L,55716,protein_coding,-0.030804485,5.713651533,0.382189935,0.53794837,0.595824359
ENSG00000143418,CERS2,29956,protein_coding,-0.029524828,6.823392604,0.381866995,0.538119819,0.595981202
ENSG00000242474,LINC03015,NA,lncRNA,-0.066738128,0.97679505,0.381811043,0.538150548,0.595982186
ENSG00000115816,CEBPZ,10153,protein_coding,-0.037618674,4.706936399,0.381401557,0.538367101,0.596188951
ENSG00000212123,PRR22,163154,protein_coding,0.091626246,0.098138163,0.380479816,0.538860829,0.596702621
ENSG00000196415,PRTN3,5657,protein_coding,0.192766913,-0.743597406,0.380251866,0.538918642,0.596733555
